# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1997-12-31;0.410;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1998-12-31;0.450;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1999-12-31;0.530;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2000-12-31;0.650;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2001-12-31;0.540;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2002-12-31;0.400;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2003-12-31;0.240;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2004-12-31;0.140;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2005-12-31;0.150;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2006-12-31;0.160;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2007-12-31;0.210;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2008-12-31;0.090;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2009-12-31;0.150;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2010-12-31;0.040;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2011-12-31;-0.240;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2012-12-31;-0.350;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2013-12-31;-0.340;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2014-12-31;-0.250;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2015-12-31;-0.030;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2016-12-31;-0.010;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2017-12-31;0.140;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2018-12-31;0.230;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2019-12-31;0.650;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2020-12-31;0.560;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2021-12-31;0.690;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2022-12-31;1.300;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2023-12-31;1.470;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;2024-12-31;1.340;
